0.109233	0.081279	0.511698	561417	1128686	864823	10000001	
0.056503	0.081279	0.459249	290403	1128686	651715	10000001	
0.040903	0.081279	0.436965	210227	1128686	585058	10000001	
0.031036	0.081279	0.418462	159512	1128686	539062	10000001	
0.025539	0.081279	0.409666	131262	1128686	516158	10000001	
0.109233	0.023824	0.568587	561417	330834	507322	10000001	
0.109233	0.003046	0.661753	561417	42299	399511	10000001	
0.109233	0.002035	0.661532	561417	28254	390086	10000001	
0.109233	0.001165	0.665615	561417	16175	384454	10000001	
0.058152	0.081279	0.484643	298881	1128686	691860	10000001	
0.043427	0.081279	0.480108	223198	1128686	649050	10000001	
0.042986	0.081279	0.488971	220935	1128686	659926	10000001	
0.044933	0.081279	0.494870	230939	1128686	672838	10000001	
0.109233	0.081279	0.512826	561417	1128686	866729	10000001	
0.109233	0.081279	0.479984	561417	1128686	811222	10000001	
0.109233	0.081279	0.454050	561417	1128686	767392	10000001	
0.109233	0.081279	0.449907	561417	1128686	760390	10000001	
0.133374	0.050478	0.527596	681322	700969	729291	10000001	
0.155224	0.028658	0.568678	792831	397956	677174	10000001	
0.203618	0.019948	0.575491	1039811	277006	757816	10000001	
0.240379	0.013474	0.610688	1227535	187108	863906	10000001	
